Index,Lact#,DIM,DaysSBrd,DaysTilNxtHt,DaysTilDue,DaysDry,Repr,DIM_Tst,Milk,Fat%,Pro%,SCCAct,Proj305MEM,Rat,Stat,Brd,Merit$,HfrMerit$
2654,3,366,180,,101,,P,365,28,4.1,3.1,,28990,B,2,HO,208,
2656,3,297,243,,38,21,P,297,,,,,30802,B,1,HO,227,
2657,2,357,191,,90,,P,356,52,3.7,3.4,,38409,A,2,HO,202,
2658,3,9,,,,,,8,,,,,,,2,HO,104,
2661,3,270,194,,87,,P,269,40,3.1,2.7,,29669,C,2,HO,-46,
2662,3,295,271,,10,49,P,295,,,,,26296,B,1,HO,156,
2663,3,255,208,,72,28,P,255,,,,,17318,D,1,JE,,-56
2666,2,388,,,,,C,387,50,3.8,3.1,,24893,C,2,HO,-2,
2667,3,212,58,,223,,P,211,76,4.6,3.3,,25038,C,2,HO,-14,
2668,3,298,257,,26,35,P,298,,,,,29150,A,1,XX,126,
2671,3,270,222,,59,28,P,270,,,,,19753,D,1,HO,97,
2672,3,294,250,,33,28,P,294,,,,,30173,A,1,XX,128,
2673,3,283,208,,73,,P,282,36,3.6,3.2,,19166,E,2,HO,266,
2674,3,183,19,3,262,,,182,132,2.5,2.7,,31401,B,2,HO,169,
2675,3,294,250,,30,28,P,294,,,,,16179,D,1,JE,156,
2677,3,260,187,,94,,P,259,68,3.1,3.1,,33221,A,2,HO,144,
2678,3,298,257,,24,35,P,298,,,,,30127,B,1,HO,117,
2679,3,291,222,,59,28,P,291,,,,,21720,E,1,HO,2,
2683,3,295,179,,102,,P,294,40,2.8,3.1,,29177,B,2,HO,193,
2686,3,229,58,,223,,P,228,28,3,2.9,,18735,E,2,HO,-24,
2687,3,291,243,,37,28,P,291,,,,,17083,C,1,JE,81,
2689,3,193,3,19,278,,,192,72,3.1,2.7,,23519,D,2,HO,123,
2690,3,265,52,,229,,P,264,80,3.9,3.2,,30131,A,2,HO,273,
2693,2,411,,,,,C,410,40,4.7,3.8,,36761,A,2,HO,302,
2695,3,329,,,,,C,328,36,4.9,3.4,,28347,A,2,HO,176,
2697,3,295,229,,52,7,P,295,,,,,31112,B,1,HO,285,
2699,3,231,159,,122,,P,230,86,4.3,3.1,,33524,A,2,HO,286,
2701,3,227,152,,129,,P,226,64,3.6,2.9,,27601,C,2,HO,,146
2702,3,117,48,,233,,P,116,112,3.2,2.9,,27799,B,2,HO,-30,
2703,3,211,15,7,266,,,210,86,3.3,2.8,,27057,C,2,HO,-14,
2707,3,289,243,,38,28,P,289,,,,,29160,B,1,HO,298,
2715,3,115,40,3,241,,,114,108,2.8,2.7,,31313,B,2,HO,31,
2716,3,292,229,,52,7,P,292,,,,,27404,C,1,HO,193,
2717,3,188,117,,164,,P,187,100,3,3,,31138,A,2,HO,,
2719,3,210,138,,143,,P,209,96,2.7,2.9,,28804,B,2,HO,129,
2720,3,258,187,,94,,P,257,82,4.1,2.6,,33113,A,2,HO,263,
2721,3,292,222,,59,,P,291,38,3,3.1,,27705,B,2,HO,229,
2725,3,293,222,,59,,P,292,44,4.3,3.5,,29265,B,2,HO,57,
2731,3,126,5,17,276,,,125,88,2.9,2.5,,25177,D,2,HO,111,
2732,3,293,236,,45,14,P,293,,,,,30543,A,1,HO,380,
2733,3,214,135,,146,,P,213,60,3.5,3.1,,24597,D,2,HO,171,
2734,3,214,119,,162,,P,213,60,2.7,3.4,,28790,C,2,HO,135,
2735,3,264,222,,59,28,P,264,,,,,15853,E,1,HO,74,
2739,3,302,207,,74,,P,301,58,4.4,3.5,,29553,A,2,HO,312,
2740,3,259,187,,94,,P,258,58,3.6,3.3,,26548,B,2,HO,247,
2745,3,291,,,,,C,290,56,3.2,3.3,,30446,B,2,HO,,180
2746,3,173,103,,178,,P,172,80,3.2,2.9,,24585,C,2,HO,69,
2750,3,283,184,,97,,P,282,68,3.8,3.2,,30907,A,2,HO,169,
2751,3,237,166,,115,,P,236,92,4.3,3.1,,30249,A,2,HO,149,
2752,3,189,30,13,251,,,188,66,3.1,3.1,,22406,D,2,HO,9,
2755,3,273,201,,80,,P,272,58,3.6,3.1,,28767,B,2,HO,216,
2756,3,225,74,,207,,P,224,80,3.8,3.2,,27005,B,2,HO,244,
2758,3,273,201,,80,,P,272,46,3,3,,27075,C,2,HO,94,
